"taxon","stamenNumber","filament_color","nectary_presence","InfType","CalShape","FlowMerosity","inflorescence_peduncle_length_mean","inflorescence_length_mean","CalLengthMean","ColLengthMean","FilLengthMean","rate"
"Mimosa bonplandii",1,1,NA,2,1,1,3.5,NA,0.45,2.3,2.5,0.00742637758405465
"Mimosa daleoides",1,1,NA,0,NA,1,32.5,10.5,NA,1.6,1.95,0.00326013524068313
"Mimosa pilulifera",1,1,NA,2,0,1,14.5,NA,0.4,2,1.75,0.0053436841033761
"Mimosa flocculosa",1,2,NA,2,0,1,16,8,0.7,2.8,3,0.00654214371344394
"Mimosa setosa",0,2,NA,2,0,1,25,NA,NA,4.2,10.5,0.0082542045069859
"Mimosa paludosa",NA,NA,NA,NA,0,NA,NA,NA,0.45,NA,NA,0.00380666800346812
"Mimosa melanocarpa",NA,2,NA,2,NA,NA,NA,4.25,2.35,4.6,8.25,0.00387394902246288
"Mimosa foliolosa",0,2,NA,2,NA,1,22.5,10,1.05,4,8,0.00377119730480398
"Mimosa antrorsa",0,NA,NA,2,0,1,22.5,NA,0.55,3.4,4.75,0.00415021711222579
"Mimosa albolanata",0,2,NA,2,NA,1,45,13,0.55,5,11.25,0.000991477400383996
"Mimosa claussenii",NA,0,NA,2,NA,2,90,17,NA,6,20,0.0122827530562217
"Mimosa decorticans",0,0,NA,2,NA,1,37.5,11,0.8,4.25,12,0.00603256364561991
"Mimosa manidea",NA,NA,NA,2,NA,NA,50,14.5,NA,5.25,NA,0.002067156225452
"Mimosa pigra",NA,2,NA,2,NA,NA,12,5.75,0.725,1.65,2,0.00352792336992137
"Mimosa dormiens",2,0,NA,2,NA,2,21.5,5.75,NA,1.5,2.5,0.00510094025948782
"Mimosa strigillosa",0,2,NA,2,0,2,100,17,0.375,2.7,6.25,0.00599061850733789
"Mimosa somnians",NA,2,NA,2,NA,2,19,5.75,0.425,2.8,5.5,0.00480293690032622
"Mimosa brachycarpa",0,2,NA,2,0,1,11.5,NA,0.475,2.3,6,0.00525137514995015
"Mimosa microcephala",0,0,NA,2,NA,1,7,NA,0.4,2.05,4.25,0.00488981868725166
"Mimosa neptunioides",0,2,NA,2,0,1,35,12,0.45,2.6,7.75,0.00821978896179172
"Mimosa occidentalis",0,2,NA,2,0,1,42.5,11,NA,2.95,7.75,0.00462339358149554
"Mimosa camporum",0,0,NA,2,NA,1,9.5,5,0.225,1.85,3.35,0.00489033247487779
"Mimosa micropteris",1,2,NA,2,2,1,2,6.5,1.4,2.55,4.75,0.00541201343855423
