"taxon","habit","root_system","height_min","height_low","height_high","height_max","height_unit","inflorescence_type","inflorescence_shape","inflorescence_length_min","inflorescence_length_low","inflorescence_length_high","inflorescence_length_max","inflorescence_length_unit","inflorescence_width_min","inflorescence_width_low","inflorescence_width_high","inflorescence_width_max","inflorescence_width_unit","inflorescence_peduncle_length_min","inflorescence_peduncle_length_low","inflorescence_peduncle_length_high","inflorescence_peduncle_length_max","inflorescence_peduncle_length_unit","flower_merosity","pedicel_length_min","pedicel_length_low","pedicel_length_high","pedicel_length_max","pedicel_length_unit","pedicel_width_min","pedicel_width_low","pedicel_width_high","pedicel_width_max","pedicel_width_unit","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","calyx_length_min","calyx_length_low","calyx_length_high","calyx_length_max","calyx_length_unit","calyx_lobe_length_min","calyx_lobe_length_low","calyx_lobe_length_high","calyx_lobe_length_max","calyx_lobe_length_unit.","corolla_length_min","corolla_length_low","corolla_length_high","corolla_length_max","corolla_length_unit","corolla_lobe_length_min","corolla_lobe_length_low","corolla_lobe_length_high","corolla_lobe_length_max","corolla_lobe_length_unit","corolla_lobe_width_min","corolla_lobe_width_low","corolla_lobe_width_high","corolla_lobe_width_max","corolla_lobe_width_unit","stamen_count","filament_length_min","filament_length_low","filament_length_high","filament_length_max","filament_length_unit","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence"
"Acacia_adoxa","Shrub",NA,NA,NA,"0.7",NA,"m","heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"15",NA,"mm","5- or 6-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5","0.8",NA,"mm",NA,"0.3","0.4",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_adoxa_adoxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2",NA,"0.4",NA,"mm",NA,NA,NA,NA,NA,NA,"0.2","0.4",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_adoxa_subglabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_orthotricha","Shrub",NA,NA,NA,"1",NA,"m","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","10",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9","1.6",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_chippendalei","Shrub",NA,NA,NA,"0.5","3","m","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"20",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6",NA,"1",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_lycopodiifolia","shrub",NA,NA,NA,"1",NA,"m","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","24",NA,"mm","5- or 6-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,"0.9",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_anasilla","shrub",NA,NA,NA,"2",NA,"m","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,"3",NA,"cm",NA,NA,"1.5","3",NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8","0.8",NA,"mm",NA,NA,NA,NA,NA,NA,"2","2.3",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_capillaris","Shrub",NA,NA,NA,"40",NA,"cm","heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","17",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8","0.8","1","1","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_smeringa","Shrub",NA,NA,NA,"1",NA,"m","heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","14","22","22","mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5","1.5",NA,"mm",NA,NA,NA,NA,NA,NA,"2.5","2.5",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_repens","shrub",NA,NA,NA,"1",NA,"m","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","37",NA,"mm","5-merous",NA,"13","37",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5","0.5",NA,"mm",NA,NA,NA,NA,NA,NA,"2","2.3",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_hypermeces","Shrub",NA,NA,NA,"1",NA,"m","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"26",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8","0.8",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_mitodes","Prostrate shrub",NA,NA,NA,NA,NA,NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","15","19","19","mm","5-merous",NA,"15","19",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8","2",NA,"mm",NA,NA,NA,NA,NA,NA,"2.3","2.5",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_zatrichota","Shrub",NA,NA,NA,"1.5",NA,"m","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","30",NA,"mm","5-merous",NA,"23","30",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7","0.8",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_perryi","Shrub",NA,NA,NA,"1.5",NA,"m","heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"20",NA,"mm","5- or 6-merous",NA,"5","20",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"narrowly obconical","0.9",NA,"1.5",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_asperulacea","Shrub",NA,NA,NA,"1",NA,"m","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","10","25","25","mm","5- or 6-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6","0.6","0.9","0.9","mm","0.2","0.2","0.4","0.4","mm",NA,NA,NA,NA,NA,NA,"0.2","0.4",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_longipedunculata","Shrub",NA,NA,NA,"1",NA,"m","heads","slightly elongated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,"45",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.2","1.2",NA,"mm","0.4","0.4","0.6","0.6","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_porcata","Shrub",NA,NA,NA,"0.5",NA,"m","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","10","20","20","mm","5-merous",NA,"10","20",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.7","1.7","2.2","2.2","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_galioides","Shrub",NA,NA,NA,"0.5",NA,"m","Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","15",NA,"mm","5- or 6-merous",NA,"4","15",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6",NA,"1.4",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_galioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7","0.8",NA,"mm",NA,NA,NA,NA,NA,NA,"2","2.2",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_galioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8","1.4",NA,"mm",NA,NA,NA,NA,NA,NA,"1.8","2.4",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_galioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7","1.1",NA,"mm",NA,NA,NA,NA,NA,NA,"2","2.6",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_pentadenia","Shrub or tree",NA,NA,"2","5","9","m","racemes","globular","1","1","4","4","mm",NA,NA,NA,NA,NA,NA,"6","20",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_subracemosa","Shrub",NA,NA,"2","5",NA,"m","racemes","globular",NA,NA,"1",NA,"mm",NA,NA,NA,NA,NA,"7","7","17","17","mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_nigricans","Shrub",NA,NA,"0.5","1.5",NA,"m","racemes","globular",NA,"0.5","2",NA,"mm",NA,NA,NA,NA,NA,"8","8","12","12","mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_leioderma","Shrub",NA,"0.5",NA,"2",NA,"m","heads","globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","10","20","20","mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_empelioclada","Shrub",NA,"0.5",NA,"2",NA,"m","heads","globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","10","20","20","mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_browniana","Shrub",NA,"0.3",NA,"2",NA,"m","heads","globular, sometimes obloid",NA,NA,NA,NA,NA,"4",NA,"6",NA,"mm","5",NA,"20",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_browniana_browniana","Shrub",NA,"0.5",NA,"1.5",NA,"m","Flower-heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_browniana_obscura","Shrub",NA,NA,"1","2",NA,"m","flower-heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_browniana_endlicheri","Subshrub","spreading by subterranean runners",NA,"0.3","0.5",NA,"m","Flower-heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_browniana_intermedia","Shrub",NA,"0.5",NA,"1.5",NA,"m","Flower-heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_browniana_glaucescens","subshrub","spreading by subterranean runners",NA,NA,"0.4",NA,"m","flower-heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","10","20","30","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_lateriticola","Shrub",NA,NA,"0.5","1.5",NA,"m","simple","globular",NA,NA,NA,NA,NA,"7","7","10","10","mm","15","15","30","30","mm","5-merous",NA,"15","30",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_grisea","Subshrub",NA,NA,NA,"0.4",NA,"m","simple","globular",NA,"10","20",NA,"mm",NA,NA,NA,NA,NA,NA,"10","20",NA,"mm","S-merous",NA,"10","20",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_moirii","Subshrub",NA,"0.15",NA,"0.6",NA,"m","heads","globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","20",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_moirii_moirii","shrubland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","13",NA,"mm",NA,NA,"8","13",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_moirii_dasycarpa","shrubland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","20",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_moirii_recurvistipula","semi-prostrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"15",NA,"mm",NA,NA,"5","15",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_newbeyi","Shrub",NA,NA,"0.3","1",NA,"m","I-headed racemes","globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","10",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_depressa","shrub",NA,NA,NA,"5",NA,"cm","simple","globular",NA,"10","20",NA,"mm",NA,NA,NA,NA,NA,"10",NA,"20",NA,"mm","S-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_amputata","subshrub",NA,NA,"0.3","0.6",NA,"m","I-headed racemes","globular",NA,"0.5",NA,NA,"mm",NA,NA,NA,NA,NA,"1","1","2","2","mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_pulchella","Shrub",NA,NA,"0.5","1.5",NA,"m","racemes","globular",NA,"1","15","20","mm",NA,NA,NA,NA,NA,"1","1","15","20","mm","5-merous",NA,"1","15","20","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_pulchella_pulchella","Shrub",NA,NA,NA,NA,NA,NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"15",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_pulchella_reflexa",NA,NA,NA,NA,NA,NA,NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_pulchella_glaberrima",NA,NA,NA,NA,NA,NA,NA,"Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","7","15","20","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_pulchella_goadbyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_megacephala","Shrub",NA,NA,"1","2",NA,"m","heads","globular",NA,"8","10",NA,"mm",NA,"8","10",NA,"mm","15","15","25","25","mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_fagonioides","Shrub",NA,NA,"0.2","0.5","1","m","heads","globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","8","8","mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_epacantha","Shrub",NA,"0.3",NA,"0.5",NA,"m","simple","globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","7","10","10","mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_lasiocarpa","Shrub",NA,"0.2",NA,"1.5",NA,"m","racemes","globular",NA,"2","12",NA,"mm",NA,NA,NA,NA,NA,"2",NA,"12",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_lasiocarpa_lasiocarpa","Shrub",NA,NA,"0.3","1.5",NA,"m","heads",NA,NA,NA,NA,NA,NA,"5","5","7","7","mm",NA,"6","12",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_lasiocarpa_sedifolia","Shrub",NA,NA,"0.2","0.5","1","m","heads","globular",NA,NA,NA,NA,NA,"3",NA,"5",NA,"mm",NA,"2","4",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
