"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Mimosa_watsonii","high-climbing vines","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","8","white",NA,NA,"","",NA,"",NA,0.45,NA,0.95,NA,NA,0.075,NA,0.22,0.12,0.0775,0.475
"Mimosa_watsonii","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_watsonii","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_guanchezii","vines","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","8","white",NA,NA,"","",NA,"",300,NA,NA,0.6,NA,NA,0.065,NA,0.15,0.06,NA,NA
"Mimosa_rufescens","Lianas","","capitula","globose","5- or 4-merous",NA,NA,NA,NA,"campanulate","8(10)","white or creamy-white",NA,NA,"","",NA,"",1850,NA,NA,0.65,NA,NA,0.065,NA,0.17,0.09,0.04,0.15
"Mimosa_rufescens_rufescens","","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,0.125,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"Mimosa_rufescens_amnisnigri","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_guilandinae","shrubs and vines","","capitula","globose","4- or 5-merous",NA,NA,NA,NA,"campanulate","8(10)","white or cream-white",NA,NA,"","",NA,"",850,0.375,NA,0.65,NA,NA,0.07,NA,0.18,0.13,0.04,0.175
"Mimosa_guilandinae_guilandinae","Sarmentose","","","","5-merous",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_guilandinae_spruceana","vinelike","","","","5-merous",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_guilandinae_duckei","","","","","4- or 5-merous",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_guilandinae_extensissima","Lianas or shrubs","","capitula","","4-merous",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_guilandinae_cuatrecasasii","Vines","","","","4-merous",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_guilandinae_paterata","","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_extensa","shrubs","","capitula","","4- or 5-merous",NA,NA,NA,NA,"campanulate","","white",NA,NA,"","",NA,"",NA,NA,NA,0.675,0.03,NA,0.08,NA,0.28,0.15,0.07,0.425
"Mimosa_extensa_extensa","Sarmentose","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_extensa_annae","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_colombiana","vines","","capitula","globose","5- or 6-merous",NA,NA,NA,NA,"campanulate","","white",NA,NA,"","",NA,"",NA,NA,NA,0.7,0.3,NA,0.065,NA,0.225,0.1,NA,0.275
"Mimosa_lawranceana","vines","","spiciform racemes","","4-merous",NA,NA,NA,NA,"campanulate","8","cream-white",NA,NA,"","",NA,"",450,NA,NA,NA,0.01,NA,0.045,NA,0.165,0.12,0.065,0.25
"Mimosa_lepidophora","arborescent shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"turbinate-campanulate","8","",NA,NA,"","",NA,"",500,NA,NA,0.6,NA,NA,0.11,NA,0.32,0.13,0.09,0.325
"Mimosa_irrigua","shrub","","capitula","globose","5-merous",NA,NA,NA,NA,"campanulate","10","whitish yellowing in age",NA,NA,"","",NA,"",350,0.45,NA,0.65,0.3,NA,0.08,0.0225,0.17,0.06,NA,0.175
"Mimosa_pithecolobioides","arborescent shrubs and round-topped trees","","fl-spikes","amentiform","5-merous",NA,NA,NA,NA,"campanulate","10","cream-colored",NA,NA,"","",NA,"",350,NA,NA,2.25,NA,NA,0.095,0.03,0.225,0.1,0.0375,0.24
"Mimosa_revoluta","shrubs","","capitula","globose or ellipsoid","5- or 6-merous",NA,NA,NA,NA,"campanulate","10","",NA,NA,"","",NA,"",300,0.825,NA,3,NA,NA,0.12,NA,0.29,0.18,0.065,0.375
"Mimosa_nothacacia","treelets","","capitula","ellipsoid","4-merous",NA,NA,NA,NA,"turbinate-campanulate","8","white",NA,NA,"","",NA,"",300,0.55,NA,0.85,NA,NA,0.06,0.0125,0.19,0.08,0.07,0.45
"Mimosa_townsendii","Treelets","","spikes","","4-merous",NA,NA,NA,NA,"shallowly campanulate","8","white",NA,NA,"","",NA,"",NA,1.15,NA,1.25,NA,NA,0.05,0.01,0.23,0.11,0.075,0.5
"Mimosa_rhododactyla","arborescent shrubs","","spikes","","4- or 5- or 6-merous",NA,NA,NA,NA,"campanulate or turbinate-campanulate","8","pink",NA,NA,"","",NA,"",450,NA,NA,NA,NA,NA,0.105,0.0175,0.25,0.11,NA,0.45
"Mimosa_benthamii","","","spikes","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA
"Mimosa_rhododactyla_rhododactyla","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA
"Mimosa_rhododactyla_rhododactyla","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA
"Mimosa_rhododactyla_malacocarpa","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_costenya","arborescent shrub","","spikes","","5-merous",NA,NA,NA,NA,"campanulate","10","pink fading whitish",NA,NA,"","",NA,"",550,7,NA,NA,NA,NA,0.145,0.03,0.285,0.13,0.07,0.5
"Mimosa_luisana","shrubs","","fl-spikes","","4- or 5-merous",NA,NA,NA,NA,"shallowly campanulate","","pink",NA,NA,"","",NA,"",300,NA,NA,1.7,NA,NA,0.04,NA,0.26,0.1,NA,0.575
"Mimosa_adenantheroides","arborescent shrubs","","capitula","oblong-ellipsoid, spiciform, cylindric, or amentiform","5-merous",NA,NA,NA,NA,"campanulate","10","whitish or pale pink",NA,NA,"","",NA,"",250,1.4,NA,2.25,NA,NA,0.165,0.035,0.315,NA,NA,0.6
"Mimosa_pauli","shrubs","","fl-spikes","","5-merous",NA,NA,NA,NA,"campanulate","10","purple",NA,NA,"","",NA,"",200,NA,NA,7,NA,NA,0.17,0.04,0.33,0.15,0.07,0.5
"Mimosa_palmeri","arborescent shrubs","","fl-spikes","","5-merous",NA,NA,NA,NA,"campanulate or turbinate-campanulate","10","pink",NA,NA,"","",NA,"",700,6.5,NA,NA,0.02,NA,0.09,0.015,0.255,0.13,NA,0.475
"Mimosa_dysocarpa","shrubs and subshrubs","","spikes","","4- or 5-merous",NA,NA,NA,NA,"campanulate","8(10)","pink fading whitish",NA,NA,"","",NA,"",65,NA,NA,1.55,NA,NA,0.225,0.0375,0.345,0.16,NA,0.725
"Mimosa_mollis","arborescent shrubs","","capitula","globose","5-merous",NA,NA,NA,NA,"campanulate","10","pink fading whitish",NA,NA,"","",NA,"",500,NA,NA,3.5,NA,NA,0.075,NA,0.375,0.15,NA,0.65
"Mimosa_guirocobensis","shrubs","","fi-spikes","cylindric","5-merous",NA,NA,NA,NA,"turbinate","10","light purple",NA,NA,"","",NA,"",150,NA,NA,2.5,2.5,NA,0.22,0.105,0.36,0.14,0.095,NA
"Mimosa_guatemalensis","shrubs","","spikes","amentiform","4- or 5-merous",NA,NA,NA,NA,"campanulate","8(10)","pink",NA,NA,"","",NA,"",150,9.75,NA,NA,NA,NA,0.17,0.035,0.295,0.14,0.0725,0.525
"Mimosa_egregia","shrubs","","pseudoraceme of amentiform spikes","","5-merous",NA,NA,NA,NA,"campanulate","10","pale pink fading whitish",NA,NA,"","",NA,"",275,25,NA,NA,NA,NA,0.09,0.0125,0.225,NA,NA,0.5
"Mimosa_spirocarpa","shrubs","","fl-spikes","amentiform","5-merous",NA,NA,NA,NA,"campanulate","10","pink fading whitish",NA,NA,"","",NA,"",NA,8,NA,NA,NA,NA,0.12,0.035,0.245,0.12,0.0725,0.575
"Mimosa_xochipalensis","arborescent shrubs","","pseudoraceme of short pedunculate fl-spikes","","4-5-merous",NA,NA,NA,NA,"campanulate low-dentate","","pink",NA,NA,"","",NA,"",500,50,NA,5,NA,NA,0.125,NA,0.25,NA,NA,0.55
"Mimosa_polyantha","shrubs","","fl-spikes","","4- or 5-merous",NA,NA,NA,NA,"shallowly campanulate or funnel-shaped","8(10)","white or lilac",NA,NA,"","",NA,"",225,3,NA,NA,NA,NA,0.055,NA,0.285,0.155,NA,0.55
"Mimosa_distachya","shrubs","","spikes or racemes","","5-merous",NA,NA,NA,NA,"openly campanulate or turbinate-campanulate","10","white or pale pink",NA,NA,"","",NA,"",400,5.5,NA,NA,0.04,NA,0.09,0.02,0.255,0.15,NA,0.45
"Mimosa_distachya_distachya","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_distachya_laxiflora","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_distachya_oligacantha","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_distachya_chamelae","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_rosei","Subarborescent shrubs","","spikes or spiciform racemes","","5-merous",NA,NA,NA,NA,"campanulate","","pink",NA,NA,"","",NA,"",200,4.5,NA,NA,0.055,NA,0.075,NA,0.22,NA,NA,NA
"Mimosa_quitensis","arborescent shrubs","","capitula","globose","5-merous",NA,NA,NA,NA,"campanulate","10","white or cream colored",NA,NA,"","",NA,"",200,NA,NA,1.8,NA,NA,0.12,NA,0.355,0.15,0.0675,0.45
"Mimosa_weberbaueri","shrubs","","capitula","oblong-ellipsoid","5-merous",NA,NA,NA,NA,"campanulate","10","white",NA,NA,"","",NA,"",150,1.15,NA,2,NA,NA,0.08,0.02,0.275,0.11,0.07,0.45
"Mimosa_andina","Arborescent shrubs","","capitula","globose","5(-6)-merous",NA,NA,NA,NA,"campanulate","","whitish",NA,NA,"","",NA,"",400,NA,NA,1.5,NA,NA,0.155,0.0325,0.295,0.13,0.055,0.425
"Mimosa_montana","subarborescent shrubs","","capitula","globose or plumply ellipsoid","5-merous",NA,NA,NA,NA,"campanulate","10","white or ochroleucous",NA,NA,"","",NA,"",200,NA,NA,1.45,NA,NA,0.125,0.015,0.21,0.1,0.06,0.35
"Mimosa_montana_montana","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",260000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_montana_sandemanii","","","","","",NA,NA,NA,NA,"campanulato","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,0.175,NA,NA,NA,NA,NA
"Mimosa_nanchititlana","shrubs and treelets","","spikes","","5-merous",NA,NA,NA,NA,"campanulate","10","white",NA,NA,"","",NA,"",350,6.5,NA,NA,NA,NA,0.11,0.015,0.23,0.09,0.045,0.4
"Mimosa_aculeaticarpa","shrubs and treelets","","capitula","globose","5-merous",NA,NA,NA,NA,"campanulate","10","white",NA,NA,"","",NA,"",275,NA,NA,1.5,NA,NA,0.15,0.0175,0.285,0.1,NA,0.375
"Mimosa_biuncifera","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_galeottii","arborescent shrubs","","capitula","globose or exceptionally oblong-cllipsoid","5-merous",NA,NA,NA,NA,"membranous, narrowly campanulate","10","whitish",NA,NA,"","",NA,"",350,0.6,NA,1.6,NA,NA,0.145,0.015,0.27,0.1,NA,0.275
"Mimosa_grahamii","shrubs","","capitula","globose","5-merous",NA,NA,NA,NA,"narrowly campanulate","10","whitish",NA,NA,"","",NA,"",130,NA,NA,2.5,NA,NA,0.185,0.015,0.405,0.12,NA,0.5
"Mimosa_grahamii_grahamii","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_grahamii_prolifica","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_minutifolia","subshrub","","capitula","globose","5-merous",NA,NA,NA,NA,"deeply campanulate","10","",NA,NA,"","",NA,"",32.5,0.7,NA,1.3,NA,NA,0.14,NA,0.28,NA,NA,NA
"Mimosa_lacerata","shrubs","","capitula","globose","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",250,0.6,NA,1.75,NA,NA,0.0675,NA,NA,NA,NA,NA
"Mimosa_aspera","shrubs","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_barrancana","shrubs","","capitula","hemispherical","4- or 5-merous",NA,NA,NA,NA,"campanulate","","",NA,NA,"","",NA,"",250,0.6,NA,2.25,0.0375,NA,0.055,NA,0.225,0.11,0.07,NA
"Mimosa_moniliformis","Bushy shrubs and small trees","","capitula","globose or ellipsoid","",NA,NA,NA,NA,"campanulate","10","pink-purple",NA,NA,"","",NA,"",300,0.95,NA,1.4,NA,NA,0.08,NA,0.3,0.11,0.06,0.5
"Mimosa_gentryi","shrubs","","capitula","hemispherical","4- and 5-merous",NA,NA,NA,NA,"campanulate","","lilac",NA,NA,"","",NA,"",250,0.75,NA,2,NA,NA,0.09,NA,0.34,0.13,0.0725,0.525
"Mimosa_pringlei","shrubs","","capitula","hemispherical or subgiobose","5-merous",NA,NA,NA,NA,"campanulate","10","pink",NA,NA,"","",NA,"",20,0.5,NA,1.05,NA,NA,0.09,NA,NA,0.14,NA,0.425
"Mimosa_pringlei_pringlei","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_pringlei_graminetorum","","","capitula","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"Mimosa_zimapanensis","Fruticose","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","8","",NA,NA,"","",NA,"",NA,1.5,NA,1.5,1.5,NA,0.07,0.01,0.37,0.09,0.06,0.45
"Mimosa_acantholoba","arborescent shrubs and bushy trees","","capitula or spikes","globose, ellipsoid, or spicate","4- or 5-merous",NA,NA,NA,NA,"membranous campanulate","8(10)","white sometimes pale pinkish",NA,NA,"","",NA,"",450,1.8,NA,1.45,NA,NA,0.0675,NA,0.27,0.13,0.07,0.475
"Mimosa_platycarpa","","","spike","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_platycarpa_liesneri","","","spicatis","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_acantholoba_molinarum","","","spike","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_acantholoba_eurycarpa","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_acantholoba_acantholoba","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_monancistra","shrubs","","capitula","oblong","5-merous",NA,NA,NA,NA,"campanulate or turbinate","10","pink",NA,NA,"","",NA,"",180,0.85,NA,1,NA,NA,0.12,0.025,0.24,NA,NA,0.5
"Mimosa_calcicola","shrubs","","capitula","globose","5-merous",NA,NA,NA,NA,"membranous narrowly campanulate","10","pink",NA,NA,"","",NA,"",100,NA,NA,0.8,NA,NA,0.145,0.025,0.295,NA,NA,0.4
"Mimosa_depauperata","shrubs","","capitula","","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",85,NA,NA,0.45,0.035,NA,0.065,NA,0.265,NA,NA,0.4
"Mimosa_emoryana","shrub","","capitula","globose or ellipsoid","5-merous",NA,NA,NA,NA,"campanulate or turbinate-campanulate","10","pink",NA,NA,"","",NA,"",120,0.8,NA,1.5,NA,NA,0.11,0.02,0.345,0.14,NA,0.5
"Mimosa_emoryana_emoryana","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_emoryana_chihuahuana","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_purpusii","shrubs","","capitula","globose","5-merous",NA,NA,NA,NA,"shallowly openly campanulate","10","pink",NA,NA,"","",NA,"",100,NA,NA,1.5,NA,NA,0.0575,NA,0.35,0.19,NA,0.7
"Mimosa_texana","shrubs","","capitula","hemispherical or globose","5-merous",NA,NA,NA,NA,"narrowly campanulate or turbinate-campanulate","","",NA,NA,"","",NA,"",200,NA,NA,1.3,NA,NA,0.13,NA,NA,NA,NA,0.375
"Mimosa_texana_texana","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_texana_filipes","tree","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_borealis","shrubs","","capitula","umbelliform, spherical or hemispherical","4- or 5-merous",NA,NA,NA,NA,"turbinate","8(10)","pink",NA,NA,"","",NA,"",120,0.6,NA,1.65,0.07,NA,0.065,NA,0.245,NA,NA,0.375
"Mimosa_turneri","shrubs","","capitula","subglobose","5-merous",NA,NA,NA,NA,"turbinate-campanulate","10","pink",NA,NA,"","",NA,"",200,NA,NA,1,0.095,NA,0.0675,NA,0.24,0.11,NA,0.365
"Mimosa_unipinnata","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","6(8)","",NA,NA,"","",NA,"",85,NA,NA,1.35,0.095,NA,0.045,0.01,0.215,0.09,NA,0.425
"Mimosa_zygophylla","shrubs","","capitula","globose","5-merous",NA,NA,NA,NA,"campanulate","10","pink",NA,NA,"","",NA,"",80,NA,NA,NA,NA,NA,0.12,NA,0.31,0.12,NA,0.45
"Mimosa_arenosa","subshrubs, shrubs and trees","","spikes","","4-merous",NA,NA,NA,NA,"shakkiwky or shortly campanulate","8","white or cream-white, exceptionally pallid-roseate in fading",NA,NA,"","",NA,"",350,5.25,NA,NA,NA,NA,0.055,0.015,0.225,0.14,0.08,0.425
"Mimosa_arenosa_arenosa","brush-woodlands, chaparral","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_arenosa_lysalgica","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_arenosa_leiocarpa","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",35500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_hapaloclada","arborescent shrubs","","spikes","","4-merous",NA,NA,NA,NA,"turbinate","8","pale pink",NA,NA,"","",NA,"",400,5,NA,NA,NA,NA,0.05,0.025,0.185,0.12,0.055,0.475
"Mimosa_acutistipula","shrubs and treetets","","spikes","","4-merous",NA,NA,NA,NA,"campanulate","8","white or cream-colored",NA,NA,"","",NA,"",450,4.75,NA,NA,NA,NA,0.06,0.01,0.195,0.11,0.0775,0.375
"Mimosa_acutistipula_acutistipula","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_acutistipula_ferrea","","","spikes","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,6.5,NA,6.5,6.5,NA,NA,NA,NA,NA,NA,NA
"Mimosa_dichroa","arborescent shrubs","","spikes","","4-merous",NA,NA,NA,NA,"campanulate","8","pink",NA,NA,"","",NA,"",300,4.25,NA,NA,NA,NA,0.085,0.025,0.225,0.11,0.075,0.55
"Mimosa_ophthalmocentra","trees","","spikes","","4-merous",NA,NA,NA,NA,"","8","white or creamy-white",NA,NA,"","",NA,"",500,5,NA,NA,NA,NA,0.0775,0.0175,0.205,0.09,0.065,0.425
"Mimosa_mensicola","arborescent shrubs","","fl-spikes","","4-merous",NA,NA,NA,NA,"campanulate","8","white",NA,NA,"","",NA,"",350,4.75,NA,NA,NA,NA,0.09,0.015,0.28,0.18,0.1,0.385
"Mimosa_dalyi","arborescent shrubs or treelets","","fl-spikes","amentiform","4-merous",NA,NA,NA,NA,"shallowly campanulate or subrotate","8","pink",NA,NA,"","",NA,"",200,8.5,NA,NA,NA,NA,0.05,NA,0.22,0.1,NA,0.525
"Mimosa_insignis","tall shrubs and treelets","","spikes","amentiform","4-merous",NA,NA,NA,NA,"shallow-campanulate","8","white",NA,NA,"","",NA,"",400,7,NA,NA,NA,NA,0.1,0.045,0.235,0.13,0.1,0.45
"Mimosa_tenuiflora","arborescent shrubs and trees","","spikes","cylindric aments","4-merous",NA,NA,NA,NA,"turbinate-campanulate","8","white",NA,NA,"","",NA,"",350,0.75,NA,NA,NA,NA,0.0875,NA,0.26,0.16,NA,0.35
"Mimosa_apodocarpa","arborescent shrubs","","spikes","","4-merous",NA,NA,NA,NA,"campanulate","8","white",NA,NA,"","",NA,"",450,7,NA,NA,NA,NA,0.09,NA,0.2,0.14,0.075,0.425
"Mimosa_apodocarpa","Shrubs and treelets","","spikes","","4-merous",NA,NA,NA,NA,"campanulate-crateriform","8","",NA,NA,"","",NA,"",275,6,NA,NA,NA,NA,0.04,NA,0.19,0.12,0.09,NA
"Mimosa_interrupta","arborescent shrubs and trees","","fl-spikes","","4-merous",NA,NA,NA,NA,"crateriform or shallowly campanulate","8","white",NA,NA,"","",NA,"",175,10.5,NA,NA,NA,NA,0.035,NA,0.24,0.2,0.095,0.6
"Mimosa_glutinosa","Shrubs becoming broad-crowned trees","","spikes","","4-merous",NA,NA,NA,NA,"campanulate","8","white",NA,NA,"","",NA,"",600,6.5,NA,NA,NA,NA,0.03,NA,0.26,0.15,0.1,0.6
"Mimosa_hebecarpa","treelets","","flower-spikes","","4-merous",NA,NA,NA,NA,"","8","pink",NA,NA,"","",NA,"",300,10.5,NA,NA,NA,NA,0.095,0.03,0.23,0.15,0.1,0.65
"Mimosa_spixiana","shrubby or arborescent","","fl-spikes","amentiform","4-merous",NA,NA,NA,NA,"campanulate","8","unknown",NA,NA,"","",NA,"",NA,4.75,NA,3,NA,NA,0.12,0.035,0.28,0.13,0.07,0.45
"Mimosa_sericantha","arborescent shrubs","","fi-spikes","narrow","4-merous",NA,NA,NA,NA,"campanulate","8","pink",NA,NA,"","",NA,"",250,7.25,NA,NA,NA,NA,NA,0.015,0.25,0.16,0.1,0.55
"Mimosa_puberula","arborescent","","fl-spikes","","4- or 5-merous",NA,NA,NA,NA,"campanulate","8(10)","",NA,NA,"","",NA,"",NA,2.5,NA,0.7,NA,NA,0.1,0.02,0.25,0.1,0.1,0.45
"Mimosa_pteridifolia","shrubs","","spikes","amentiform","4-merous",NA,NA,NA,NA,"shallowly campanulate","8","pink",NA,NA,"","",NA,"",250,7.75,NA,NA,NA,NA,0.09,0.03,0.205,0.13,0.095,0.625
"Mimosa_pteridifolia","shrubs","","fl-spikes","amentiform","4-merous",NA,NA,NA,NA,"shallowly campanulate or bowl shaped","8","pink",NA,NA,"","",NA,"",300,8.75,NA,8.75,NA,NA,0.06,0.0125,0.22,0.13,0.07,0.675
"Mimosa_pteridifolia","","","","","4-merous",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA
"Mimosa_pteridifolia","","","","","5-merous",NA,NA,NA,NA,"","10","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA
"Mimosa_pteridifolia","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_gemmulata","shrubs","","fl-spikes","","4-merous",NA,NA,NA,NA,"crateriform or shallowly campanulate","8","pink",NA,NA,"","",NA,"",175,8.5,NA,NA,NA,NA,0.06,0.02,0.205,0.13,0.0725,0.6
"Mimosa_gemmulata","Shrubs","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_gemmulata","shrubs or treelets","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_gemmulata","shrubs","","","","",NA,NA,NA,NA,"","","white",NA,NA,"","",NA,"",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_gemmulata","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_caccavariana","shrubs and treelets","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7
"Mimosa_amnisatri","shrub","","fl-spikes","amentiform","4- or -5-merous",NA,NA,NA,NA,"campanulate","8","pink",NA,NA,"","",NA,"",NA,11.5,NA,NA,NA,NA,0.07,0.035,0.17,0.09,0.075,0.55
"Mimosa_nothopteris","Shrubs","","fl-spikes","","4-merous",NA,NA,NA,NA,"","8","pale pink",NA,NA,"","",NA,"",150,6.5,NA,NA,NA,NA,0.08,NA,0.24,0.1,0.08,0.6
