"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Calliandra_silvicola","arborescent shrubs",NA,"capitula",NA,"5",NA,NA,"homomorphic",NA,"campanulate",NA,"pink or carmine",NA,NA,"filaments united in fascicles",NA,NA,"",300,NA,NA,2.25,0.03,NA,0.15,0.05,0.45,NA,NA,1.75
"Calliandra_surinamensis","shrubs",NA,"capitula",NA,"4 (5)-merous","present","present","present","neuter",NA,NA,"pallid proximally, rose-carmine distally",NA,NA,NA,NA,NA,"",375,NA,NA,1.35,0.05,0.07,0.25,0.0575,0.795,0.16,NA,3.6
"Calliandra_samik","Arborescent shrubs",NA,"capitula",NA,NA,NA,NA,"homomorphic",NA,NA,"34",NA,NA,NA,NA,"present",NA,"",NA,NA,NA,1.5,0.06,0.085,0.575,NA,1.375,0.37,NA,4.1
"Calliandra_purpurea","shrubs","tuberiferous roots","capitula",NA,"4 (5)-merous","bisexual","staminate","homomorphic",NA,"campanulate or deeply campanulate",NA,"red",NA,NA,NA,"present",NA,"",375,NA,NA,NA,NA,NA,0.165,0.0225,NA,0.17,NA,2.8
"Calliandra_riparia","Arborescent shrubs",NA,"capitula",NA,NA,NA,NA,"yes",NA,NA,NA,"pink or carmine",NA,NA,"present",NA,NA,"",375,NA,NA,2.1,0.045,0.06,NA,0.0425,0.675,0.17,NA,3.65
"Calliandra_magdalenae","Trees",NA,"capitula",NA,"4 (5)-merous",NA,NA,"strongly heteromorphic",NA,"campanulate",NA,"pallid proximally, the tassel carmine",NA,NA,NA,NA,NA,"",2000,NA,NA,NA,0.06,NA,0.17,0.025,NA,0.135,NA,3.35
"Calliandra_magdalenae_colombiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_magdalenae_magdalenae","Colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_caeciliae","frees",NA,"capitula",NA,"4 (5)-merous",NA,"staminate","variably homoor heteromorphic",NA,"campanulate or deeply campanulate",NA,"pallid proximally, carmine",NA,NA,NA,NA,NA,"",400,NA,NA,0.8,0.03,0.05,0.165,0.0175,NA,0.115,NA,2.55
"Calliandra_chulumania","Arborescent shrubs",NA,"capitula",NA,NA,NA,NA,NA,NA,"deeply campanulate",NA,"dark red-brown",NA,NA,NA,NA,NA,"",275,NA,NA,0.85,0.85,NA,0.135,NA,NA,0.1,NA,2.15
"Calliandra_carcerea","Arborescent shrubs",NA,"capitula",NA,"20",NA,NA,NA,NA,"campanulate","20","vivid red",NA,NA,NA,NA,NA,"",NA,NA,NA,1.9,0.03,NA,0.265,0.05,NA,NA,NA,2
"Calliandra_pityophila","shrublets",NA,"capitula",NA,"5",NA,NA,NA,NA,NA,NA,"red",NA,"present",NA,NA,"present","",50,NA,NA,2.5,0.085,0.04,0.1075,0.025,0.6,0.14,NA,2.6
"Calliandra_colimae","shrubs",NA,"capitula",NA,"4 (5)-merous",NA,NA,NA,NA,"campanulate",NA,"crimson-orange",NA,"present",NA,NA,"present","",100,NA,NA,2.25,0.03,0.06,0.165,0.06,0.65,0.065,NA,2.9
"Calliandra_hintonii","Shrubs",NA,"capitulo",NA,"5","bisexual",NA,"homomorphic",NA,"campanulate","16","red",NA,"present",NA,"present","present","",300,NA,NA,2.25,0.04,0.04,0.18,0.025,0.68,0.2,NA,1.675
"Calliandra_conferta","shrubs",NA,"capitula",NA,"5",NA,NA,NA,NA,"campanulate",NA,"pale pink or whitish",NA,"present",NA,NA,"absent","",20,NA,NA,1.125,0.01,NA,0.14,0.0475,0.45,0.13,NA,1.075
"Calliandra_selloi","shrubs",NA,"capitula","claviform or subglobase",NA,NA,NA,"heteromorphic",NA,"campanulate or turbinate-campanulate",NA,"whitish proximally, pinkor crimson-tipped (exceptionally all white)",NA,"present",NA,NA,NA,"",175,0.15,NA,0.95,0.04,NA,0.135,0.035,NA,NA,NA,2.85
"Calliandra_staminea","shrubs",NA,"capitula",NA,"4 (5)-merous",NA,NA,"present",NA,"campanulate",NA,"pink",NA,"present",NA,NA,NA,"",NA,NA,NA,1,0.13,0.04,0.24,0.035,0.625,0.165,NA,3.15
"Calliandra_sessilis","suffruticose","creeping rhizome","capitula","hemispherical",NA,NA,NA,"yes",NA,"campanulate or turbinate-campanulate",NA,"pink or crimson",NA,"present",NA,NA,"present","",150,NA,NA,0.2,NA,NA,0.25,0.0325,0.565,0.185,0.12,NA
"Calliandra_spinosa","shrubs and treelets",NA,"capitula",NA,"4 (5)-merous",NA,NA,"present",NA,"campanulate or cuncate-campanulate",NA,"white-rubescent",NA,"present",NA,NA,"present","",300,NA,NA,0.85,0.04,NA,0.18,0.025,0.47,0.1,NA,NA
"Calliandra_duckei","shrubs or treelets",NA,"capitula","umbelliform","5",NA,NA,"yes",NA,"turbinate-campanulate",NA,NA,NA,"present",NA,NA,NA,"",NA,NA,NA,1.15,0.165,0.025,0.14,0.025,0.4,0.185,NA,1.7
