"Tip_in_tree" "rate"
"Acacia_cardiophylla" 0.00257914268531311
"Acacia_silvestris" 0.00258356063752675
"Acacia_filicifolia" 0.00497145147260967
"Acacia_cangaiensis" 0.0064378892526058
"Acacia_glaucocarpa" 0.00367669147932895
"Acacia_irrorata" 0.00434065097191877
"Acacia_jucunda" 0.0121832328010164
"Acacia_nanodealbata" 0.00319447008628127
"Acacia_polybotrya" 0.00653611453838397
"Acacia_dawsonii" 0.00293959174830408
"Acacia_leptoclada" 0.00501472015396301
"Acacia_spectabilis" 0.00358795130701146
"Acacia_trachyphloia" 0.00448803853057935
"Acacia_mollifolia" 0.00523191816849788
"Acacia_jonesii" 0.00334484048331321
"Acacia_cultriformis" 0.0089583349074215
"Acacia_uncinata" 0.00689569343924305
"Acacia_sertiformis" 0.00199439276302453
"Acacia_piligera" 0.00706983724468148
"Acacia_cremiflora" 0.00493881527163839
"Acacia_vestita" 0.0027311871505415
"Acacia_saliciformis" 0.00588203911087455
"Acacia_linearifolia" 0.00417844378190748
"Acacia_penninervis" 0.00474972621353084
"Acacia_acrionastes" 0.0023701789676168
"Acacia_falciformis" 0.00425892421752601
"Acacia_obliquinervia" 0.0031776326980648
"Acacia_caerulescens" 0.00558456997460602
"Acacia_binervata" 0.00435262362266323
"Acacia_attenuata" 0.00312510895770212
"Acacia_fimbriata" 0.00719471847754599
"Acacia_cluniesrossiae" 0.00288441105496763
"Acacia_meiantha" 0.00672372475192059
"Acacia_boormanii" 0.00546260093291253
"Acacia_kettlewelliae" 0.00237656297741634
"Acacia_pravissima" 0.00507696048843625
"Acacia_latisepala" 0.00293253894773534
"Acacia_rubida" 0.00316150906004414
"Acacia_elata" 0.00412499124174682
"Acacia_buxifolia" 0.00390433087157125
"Acacia_decora" 0.00308755736022775
"Acacia_conferta" 0.00327725860984898
"Acacia_tindaleae" 0.00327790241682053
"Acacia_semilunata" 0.0049562726609951
"Acacia_brunioides" 0.0118616044485618
"Acacia_ruppii" 0.00313515683293499
"Acacia_terminalis" 0.00393500215158043
"Acacia_decurrens" 0.0128378037150558
"Acacia_pubescens" 0.00657558822272576
"Acacia_constablei" 0.00483644021385429
"Acacia_adunca" 0.00637665167828861
"Acacia_pustula" 0.00734782357135565
"Acacia_podalyriifolia" 0.00734729035947962
"Acacia_betchei" 0.00417683036745494
"Acacia_caesiella" 0.00533433212771
"Acacia_linifolia" 0.012217362138719
"Acacia_prominens" 0.00173564243278783
"Acacia_kydrensis" 0.00400899841188035
"Acacia_gladiiformis" 0.00226586110220401
"Acacia_falcata" 0.00287415008248461
"Acacia_validinervia" 0.00821631307943764
"Acacia_steedmanii" 0.00222601602895698
"Acacia_lunata" 0.00660036683449431
"Acacia_meisneri" 0.00135138543537079
"Acacia_leptopetala" 0.00843903610531706
"Acacia_harveyi" 0.00191063816141797
"Acacia_brumalis" 0.00790815938863682
"Acacia_chamaeleon" 0.00569508542204711
"Acacia_aestivalis" 0.00226832409345941
"Acacia_jennerae" 0.00447643744588639
"Acacia_nematophylla" 0.00502038741199272
"Acacia_neriifolia" 0.0090175839473271
"Acacia_flocktoniae" 0.00421833221921335
"Acacia_quornensis" 0.0021358701307914
"Acacia_wattsiana" 0.00670627229717908
"Acacia_araneosa" 0.0068086753174956
"Acacia_calamifolia" 0.00238189239051536
"Acacia_notabilis" 0.00283524752126435
"Acacia_gillii" 0.00285186391089251
"Acacia_brachybotrya" 0.00577743362776856
"Acacia_argyrophylla" 0.00391405236978153
"Acacia_hakeoides" 0.00591942692860078
"Acacia_williamsonii" 0.00185196643325799
"Acacia_pycnantha" 0.00900040896819211
"Acacia_beckleri" 0.00582320086687692
"Acacia_confluens" 0.00251539508457852
"Acacia_hispidula" 0.00235775640557575
"Acacia_platycarpa" 0.00267230503031307
"Acacia_sericata" 0.00443486239052713
"Acacia_retivenea" 0.00839648398884465
"Acacia_dunnii" 0.0028650868758959
"Acacia_flavescens" 0.0061721829564696
"Acacia_mimula" 0.00239379835029353
"Acacia_pruinocarpa" 0.00295304425962879
"Acacia_wiseana" 0.00304420671760485
"Acacia_willdenowiana" 0.00321140875360206
"Acacia_nitidula" 0.00257685623541128
"Acacia_subcaerulea" 0.00447189395762865
"Acacia_iteaphylla" 0.00290610670103584
"Acacia_hemiteles" 0.00298476550159907
"Acacia_prainii" 0.00212363754980677
"Acacia_microcarpa" 0.00440674482507688
"Acacia_acinacea" 0.00821898528120069
"Acacia_nodiflora" 0.00167316804551662
"Acacia_hemignosta" 0.00390211978796241
"Acacia_praelongata" 0.00415692041762681
"Acacia_murrayana" 0.00339660601383338
"Acacia_anaticeps" 0.00315304483074448
"Acacia_gilesiana" 0.00222420350774936
"Acacia_synchronicia" 0.00391353729486669
"Acacia_victoriae" 0.00358351848012555
"Acacia_chartacea" 0.00168734212379885
"Acacia_cuspidifolia" 0.00366694899649695
"Acacia_dentifera" 0.00234986329654898
"Acacia_puncticulata" 0.00460906336734238
"Acacia_marramamba" 0.00327875993298872
"Acacia_inaequilatera" 0.00254760542376922
"Acacia_pyrifolia" 0.00274157458584775
"Acacia_robiniae" 0.00332797343917209
"Acacia_biflora" 0.00403653554786333
"Acacia_mooreana" 0.00273964120184239
"Acacia_chrysocephala" 0.00158941816947432
"Acacia_truncata" 0.0119391266425921
"Acacia_urophylla" 0.00307460801401036
"Acacia_divergens" 0.009790942599865
"Acacia_mutabilis" 0.00500595332875112
"Acacia_myrtifolia" 0.00244092541720197
"Acacia_nervosa" 0.00513639472580876
"Acacia_pygmaea" 0.00605816332589759
"Acacia_disticha" 0.00336308517255101
"Acacia_phlebopetala" 0.0078826673674527
"Acacia_lasiocarpa" 0.00415298135809765
"Acacia_pulchella" 0.0064406507868001
"Acacia_megacephala" 0.0062753180692382
"Acacia_pentadenia" 0.00488688478429816
"Acacia_grisea" 0.00297319664050841
"Acacia_browniana" 0.00727346399275373
"Acacia_leioderma" 0.00848962427949263
"Acacia_drummondii" 0.00598748955125448
"Acacia_jacksonioides" 0.00278790181245298
"Acacia_extensa" 0.00425473659483497
"Acacia_trigonophylla" 0.00336581566827108
"Acacia_daviesioides" 0.00445011825568274
"Acacia_aphylla" 0.00458146282298969
"Acacia_ingrata" 0.00217275135549878
"Acacia_ulicina" 0.00402561033847104
"Acacia_acuaria" 0.00229161424164544
"Acacia_acanthoclada" 0.013382905531367
"Acacia_flabellifolia" 0.0057269378350826
"Acacia_pulviniformis" 0.00262914852772809
"Acacia_spinescens" 0.0043015012571117
"Acacia_continua" 0.00188500264882149
"Acacia_exocarpoides" 0.00274577311614437
"Acacia_erinacea" 0.00201280135194492
"Acacia_microcalyx" 0.00321469387432852
"Acacia_idiomorpha" 0.00305208205866181
"Acacia_nigripilosa" 0.00360840101196151
"Acacia_hippuroides" 0.00401959657524363
"Acacia_galioides" 0.00250423612837703
"Acacia_asperulacea" 0.00249907386790629
"Acacia_adoxa" 0.0192472533160148
"Acacia_orthotricha" 0.0013355549077952
"Acacia_chippendalei" 0.00259123128391467
"Acacia_lycopodiifolia" 0.0029004058274795
"Acacia_spondylophylla" 0.00166890576805524
"Acacia_blakelyi" 0.00126394638309065
"Acacia_scirpifolia" 0.00442374037690034
"Acacia_spathulifolia" 0.00231670775900897
"Acacia_saligna" 0.00240105243942411
"Acacia_macradenia" 0.00367125435353411
"Acacia_sclerosperma" 0.00195730134513142
"Acacia_bivenosa" 0.00186157422981479
"Acacia_cupularis" 0.00124976663901269
"Acacia_xanthina" 0.00386256249481802
"Acacia_ampliceps" 0.00430421361250536
"Acacia_salicina" 0.00132896414224894
"Acacia_ashbyae" 0.00991032539926344
"Acacia_bidentata" 0.00112582224847003
"Acacia_orbifolia" 0.00265321683006428
"Acacia_richii" 0.00288030368041084
"Acacia_simsii" 0.0033464384472609
"Acacia_complanata" 0.0032282516685513
"Acacia_multisiliqua" 0.0018252040482721
"Acacia_fleckeri" 0.0098954780595538
"Acacia_estrophiolata" 0.00217287960475145
"Acacia_excelsa" 0.00275216936075107
"Acacia_maitlandii" 0.00303861886254987
"Acacia_echinula" 0.0029772099459462
"Acacia_ulicifolia" 0.00174690772060725
"Acacia_brownii" 0.00661852168238588
"Acacia_gunnii" 0.00314569552900743
"Acacia_asparagoides" 0.0030131531308949
"Acacia_quadrilateralis" 0.00289103634028944
"Acacia_carnosula" 0.00197197716546331
"Acacia_longispinea" 0.00301937954386094
"Acacia_siculiformis" 0.00269501191469498
"Paraserianthes_lophantha" 0.00286818990341661
"Archidendron_borneense" 0.000712528256403622
"Archidendron_triplinervium" 0.00480391618070259
"Archidendron_utile" 0.00121988479183545
"Archidendron_jiringa" 0.00314533878778696
"Archidendron_ellipticum" 0.00130073752754725
"Archidendron_robinsonii" 0.00250403131998133
"Archidendron_eberhardtii" 0.00109284719799626
"Archidendron_chevalieri" 0.00254478108982782
"Archidendron_scutiferum" 0.00532103492678607
"Archidendron_clypearia" 0.00596916723801311
"Archidendron_glomeriflorum" 0.00558789265700296
"Archidendron_ptenopum" 0.00308377839769704
"Archidendron_lucyi" 0.00215137350578809
"Archidendron_glabrum" 0.00164357007088544
"Pararchidendron_pruinosum" 0.00140645972485633
"Archidendropsis_granulosa" 0.000921000884173937
"Archidendropsis_fournieri" 0.00135839822192296
"Heliodendron_basalticum" 0.00328204675506596
"Wallaceodendron_celebicum" 0.00238325009866356
"Serianthes_nelsonii" 0.00279757510248257
"Falcataria_falcata" 0.00274056376394163
"Inga_chocoensis" 0.00536097585029524
"Inga_litoralis" 0.00391183517708206
"Inga_sinacae" 0.00237605949608322
"Inga_sierrae" 0.00592148541719779
"Inga_ismaelis" 0.00316671026464795
"Inga_grandis" 0.00302195396448504
"Inga_longipes" 0.00453048410988796
"Inga_nobilis" 0.00642669958741987
"Inga_macrophylla" 0.00228316671562172
"Inga_rubiginosa" 0.00299562251938869
"Inga_oerstediana" 0.00282105987121984
"Inga_vera" 0.00571934065253559
"Inga_ornata" 0.00232760751896792
