"Name_submitted","Overall_score","Name_matched","Accepted_name","Keep","Altered"
"Mimosa somnians subsp. longipes var. possensis",0.77149326622765,"Mimosa somnians subsp. longipes","Mimosa somnians var. longipes",NA,NA
"Mimosa microcephala subsp. cataractae var. cataractae",0.77149326622765,"Mimosa microcephala subsp. cataractae","Mimosa microcephala subsp. cataractae",NA,NA
"Mimosa microcephala subsp. cataractae var. lumaria",0.77149326622765,"Mimosa microcephala subsp. cataractae","Mimosa microcephala subsp. cataractae",NA,NA
"Mimosa microcephala subsp. microcephala var. communis Barneby",0.77149326622765,"Mimosa microcephala subsp. microcephala","Mimosa microcephala subsp. microcephala",NA,NA
"Mimosa microcephala subsp. microcephala var. microcephala",0.77149326622765,"Mimosa microcephala subsp. microcephala","Mimosa microcephala subsp. microcephala",NA,NA
"Mimosa microcephala subsp. microcephala var. mituensis",0.77149326622765,"Mimosa microcephala subsp. microcephala","Mimosa microcephala subsp. microcephala",NA,NA
"Mimosa occidentalis var. novo-galiciana",0.99331094433448,"Mimosa occidentalis var. novogaliciana","Mimosa occidentalis var. novogaliciana",NA,NA
"Mimosa glazioui",0.95322410145539,"Mimosa glaziovii","Mimosa glaziovii",NA,NA
"Mimosa nuda var. nuda",0.59957384396743,"Mimosa nuda","Mimosa debilis var. debilis",NA,NA
"Mimosa dolens subsp. acerba var. acerba",0.77149326622765,"Mimosa dolens subsp. acerba","Mimosa dolens subsp. acerba",NA,NA
"Mimosa dolens subsp. acerba var. latifolia",0.77149326622765,"Mimosa dolens subsp. acerba","Mimosa dolens subsp. acerba",NA,NA
"Mimosa dolens subsp. acerba var. rudis",0.77149326622765,"Mimosa dolens subsp. acerba","Mimosa dolens subsp. acerba",NA,NA
"Mimosa dolens subsp. acerba var. uncta",0.77149326622765,"Mimosa dolens subsp. acerba","Mimosa dolens subsp. acerba",NA,NA
"Mimosa dolens subsp. acerba var. pubescens",0.77149326622765,"Mimosa dolens subsp. acerba","Mimosa dolens subsp. acerba",NA,NA
"Mimosa dolens subsp. acerba var. psendorigida",0.77149326622765,"Mimosa dolens subsp. acerba","Mimosa dolens subsp. acerba",NA,NA
"Mimosa dolens subsp. rigida var. rigida",0.77149326622765,"Mimosa dolens subsp. rigida","Mimosa dolens subsp. rigida",NA,NA
"Mimosa dolens subsp. rigida var. rigescens",0.77149326622765,"Mimosa dolens subsp. rigida","Mimosa dolens subsp. rigida",NA,NA
"Mimosa dolens subsp. rigida var. foliolosa",0.77149326622765,"Mimosa dolens subsp. rigida","Mimosa dolens subsp. rigida",NA,NA
"Mimosa dolens subsp. rigida var. anisitsii",0.77149326622765,"Mimosa dolens subsp. rigida","Mimosa dolens subsp. rigida",NA,NA
"Mimosa dolens subsp. rigida var. deterior",0.77149326622765,"Mimosa dolens subsp. rigida","Mimosa dolens subsp. rigida",NA,NA
"Mimosa dolens subsp. ericphylla",0.99025364493243,"Mimosa dolens subsp. eriophylla","Mimosa dolens subsp. eriophylla",NA,NA
"Mimosa dolens subsp. dolens var. dolens",0.77149326622765,"Mimosa dolens subsp. dolens","Mimosa dolens subsp. dolens",NA,NA
"Mimosa dolens subsp. dolens var. pangloea",0.77149326622765,"Mimosa dolens subsp. dolens","Mimosa dolens subsp. dolens",NA,NA
"Mimosa xanthocentra subsp. xanthocentra",0.96021221090168,"Mimosa xanthocentra var. xanthocentra","Mimosa xanthocentra var. xanthocentra",NA,NA
"Mimosa xanthocentra subsp. xanthocentra var. xanthocentra",0.61422004211051,"Mimosa xanthocentra var. xanthocentra","Mimosa xanthocentra var. xanthocentra",NA,NA
"Mimosa xanthocentra subsp. xanthocentra var. mansii",0.61422004211051,"Mimosa xanthocentra var. xanthocentra","Mimosa xanthocentra var. xanthocentra",NA,NA
"Mimosa xanthocentra subsp. subsericea var. longepetiolata",0.77149326622765,"Mimosa xanthocentra subsp. subsericea","Mimosa xanthocentra var. subsericea",NA,NA
"Mimosa xanthocentra subsp. subsericea var. subsericea",0.77149326622765,"Mimosa xanthocentra subsp. subsericea","Mimosa xanthocentra var. subsericea",NA,NA
"Mimosa xanthocentra subsp. subsericea var. exilis",0.77149326622765,"Mimosa xanthocentra subsp. subsericea","Mimosa xanthocentra var. subsericea",NA,NA
"Mimosa xanthocentra subsp. subsericea var. miseranda",0.77149326622765,"Mimosa xanthocentra subsp. subsericea","Mimosa xanthocentra var. subsericea",NA,NA
"Mimosa xanthocentra subsp. tremula var. tremula",0.77149326622765,"Mimosa xanthocentra subsp. tremula","Mimosa xanthocentra var. tremula",NA,NA
"Mimosa xanthocentra subsp. tremula var. tenuis",0.77149326622765,"Mimosa xanthocentra subsp. tremula","Mimosa xanthocentra var. tremula",NA,NA
"Mimosa pseudoradula var. pseudoradula",0.59957384396743,"Mimosa pseudoradula","Mimosa pseudoradula",NA,NA
"Mimosa monadelpha var. monadelpha",0.59957384396743,"Mimosa monadelpha","Mimosa amambayensis var. amambayensis",NA,NA
"Mimosa paupera var. pampera",0.98518987842647,"Mimosa paupera var. paupera","Mimosa paupera var. paupera",NA,NA
"Mimosa distans subsp. distans var. distans",0.77149326622765,"Mimosa distans subsp. distans","Mimosa distans subsp. distans",NA,NA
"Mimosa distans subsp. distans var. neuroloma",0.77149326622765,"Mimosa distans subsp. distans","Mimosa distans subsp. distans",NA,NA
"Mimosa distans subsp. elongata var. elongata",0.77149326622765,"Mimosa distans subsp. elongata","Mimosa distans subsp. elongata",NA,NA
"Mimosa distans subsp. elongata var. planaltinae",0.77149326622765,"Mimosa distans subsp. elongata","Mimosa distans subsp. elongata",NA,NA
"Mimosa distans subsp. elongata var. paraguariensis",0.77149326622765,"Mimosa distans subsp. elongata","Mimosa distans subsp. elongata",NA,NA
"Mimosa distans subsp. elongata var. quadripinna",0.77149326622765,"Mimosa distans subsp. elongata","Mimosa distans subsp. elongata",NA,NA
"Mimosa distans subsp. elongata var. terezinae",0.77149326622765,"Mimosa distans subsp. elongata","Mimosa distans subsp. elongata",NA,NA
"Mimosa skinneri var. carajaram",0.98899831109563,"Mimosa skinneri var. carajarum","Mimosa skinneri var. carajarum",NA,NA
"Phylogeny 1:    323",0.72523657116296,"Phylogyne","Narcissus",NA,NA
"Phylogeny 1-2:  425",0.72523657116296,"Phylogyne","Narcissus",NA,NA
"All taxa:        803",0.49957384396743,"Ala","Habenaria",NA,NA
