"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"63","Mimosa andina",1,"172256","Mimosa andina",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"andina","andina",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:507634-1","","Y","Accepted","Mimosa andina","Mimosa andina","Benth.","172256","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:507634-1","","Fabaceae","1","1","wcvp","0",""
"64","Mimosa montana",1,"172387","Mimosa montana",1,"species","","",NA,"Kunth","Fabaceae","Mimosa","Mimosa",1,"montana","montana",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508349-1","","Y","Accepted","Mimosa montana","Mimosa montana","Kunth","172387","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508349-1","","Fabaceae","1","1","wcvp","0",""
"65","Mimosa montana var. montana",1,"1048983","Mimosa montana var. montana",1,"variety","","",NA,"","Fabaceae","Mimosa","Mimosa",1,"montana","montana",1,"","",NA,"var.","montana",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190509-1","","Y","Accepted","Mimosa montana var. montana","Mimosa montana","","1048983","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190509-1","","Fabaceae","1","1","wcvp","0",""
"66","Mimosa montana var. sandemanii",1,"1369745","Mimosa montana var. sandemanii",1,"variety","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"montana","montana",1,"","",NA,"var.","sandemanii",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312703-2","","Y","Accepted","Mimosa montana var. sandemanii","Mimosa montana","Barneby","1369745","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312703-2","","Fabaceae","1","1","wcvp","0",""
"67","Mimosa nanchititlana",1,"182117","Mimosa nanchititlana",1,"species","","",NA,"R.Grether & Barneby","Fabaceae","Mimosa","Mimosa",1,"nanchititlana","nanchititlana",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280947-2","","Y","Accepted","Mimosa nanchititlana","Mimosa nanchititlana","R.Grether & Barneby","182117","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280947-2","","Fabaceae","1","1","wcvp","0",""
"68","Mimosa aculeaticarpa",1,"167536","Mimosa aculeaticarpa",1,"species","","",NA,"Ortega","Fabaceae","Mimosa","Mimosa",1,"aculeaticarpa","aculeaticarpa",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161462-2","","Y","Accepted","Mimosa aculeaticarpa","Mimosa aculeaticarpa","Ortega","167536","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161462-2","","Fabaceae","1","1","wcvp","0",""
"69","Mimosa aculeaticarpa var. biuncifera",1,"205299","Mimosa aculeaticarpa var. biuncifera",1,"variety","","",NA,"(Benth.) Barneby","Fabaceae","Mimosa","Mimosa",1,"aculeaticarpa","aculeaticarpa",1,"","",NA,"var.","biuncifera",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967246-1","","Y","Synonym","Mimosa biuncifera","Mimosa biuncifera","Benth.","170287","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161536-2","","Fabaceae","1","1","wcvp","0",""
"70","Mimosa galeottii",1,"167616","Mimosa galeottii",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"galeottii","galeottii",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161680-2","","Y","Accepted","Mimosa galeottii","Mimosa galeottii","Benth.","167616","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161680-2","","Fabaceae","1","1","wcvp","0",""
"71","Mimosa grahamii",1,"167623","Mimosa grahamii",1,"species","","",NA,"A.Gray","Fabaceae","Mimosa","Mimosa",1,"grahamii","grahamii",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508067-1","","Y","Accepted","Mimosa grahamii","Mimosa grahamii","A.Gray","167623","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508067-1","","Fabaceae","1","1","wcvp","0",""
"72","Mimosa grahamii var. grahamii",1,"177411","Mimosa grahamii var. grahamii",1,"variety","","",NA,"","Fabaceae","Mimosa","Mimosa",1,"grahamii","grahamii",1,"","",NA,"var.","grahamii",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190420-1","","Y","Accepted","Mimosa grahamii var. grahamii","Mimosa grahamii","","177411","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190420-1","","Fabaceae","1","1","wcvp","0",""
