Name_submitted,Overall_score,Name_matched,Accepted_name,Keep,Altered
Mimosa dolens subsp. rigida var. deterior,0.771493266,Mimosa dolens subsp. rigida,Mimosa dolens var. deterior,1,1
Mimosa dolens subsp. ericphylla,0.990253645,Mimosa dolens subsp. eriophylla,Mimosa dolens subsp. eriophylla,1,1
Mimosa dolens subsp. dolens var. dolens,0.771493266,Mimosa dolens subsp. dolens,Mimosa dolens subsp. dolens,1,NA
Mimosa dolens subsp. dolens var. pangloea,0.771493266,Mimosa dolens subsp. dolens,Mimosa dolens var. pangloea,1,1
Mimosa xanthocentra subsp. xanthocentra,0.960212211,Mimosa xanthocentra var. xanthocentra,Mimosa xanthocentra var. xanthocentra,1,NA
Mimosa xanthocentra subsp. xanthocentra var. xanthocentra,0.614220042,Mimosa xanthocentra var. xanthocentra,Mimosa xanthocentra var. xanthocentra,1,NA
Mimosa xanthocentra subsp. xanthocentra var. mansii,0.614220042,Mimosa xanthocentra var. xanthocentra,Mimosa xanthocentra var. mansii,1,1
Mimosa xanthocentra subsp. subsericea var. longepetiolata,0.771493266,Mimosa xanthocentra subsp. subsericea,Mimosa xanthocentra var. longepetiolata,1,1
Mimosa xanthocentra subsp. subsericea var. subsericea,0.771493266,Mimosa xanthocentra subsp. subsericea,Mimosa xanthocentra var. subsericea,1,1
Mimosa xanthocentra subsp. subsericea var. exilis,0.771493266,Mimosa xanthocentra subsp. subsericea,Mimosa xanthocentra var. exilis,1,1
Mimosa xanthocentra subsp. subsericea var. miseranda,0.771493266,Mimosa xanthocentra subsp. subsericea,Mimosa xanthocentra var. miseranda,1,1
Mimosa xanthocentra subsp. tremula var. tremula,0.771493266,Mimosa xanthocentra subsp. tremula,Mimosa xanthocentra var. tremula,1,1
Mimosa xanthocentra subsp. tremula var. tenuis,0.771493266,Mimosa xanthocentra subsp. tremula,Mimosa xanthocentra var. tenuis,1,1
Mimosa pseudoradula var. pseudoradula,0.599573844,Mimosa pseudoradula,Mimosa pseudoradula,1,1
Mimosa monadelpha var. monadelpha,0.599573844,Mimosa monadelpha,Mimosa amambayensis var. amambayensis,1,NA
Mimosa paupera var. pampera,0.985189878,Mimosa paupera var. paupera,Mimosa paupera var. paupera,1,NA
Mimosa distans subsp. distans var. distans,0.771493266,Mimosa distans subsp. distans,Mimosa distans subsp. distans,1,NA
Mimosa distans subsp. distans var. neuroloma,0.771493266,Mimosa distans subsp. distans,Mimosa distans var. neuroloma,1,1
Mimosa distans subsp. elongata var. elongata,0.771493266,Mimosa distans subsp. elongata,Mimosa distans subsp. elongata,1,NA
Mimosa distans subsp. elongata var. planaltinae,0.771493266,Mimosa distans subsp. elongata,Mimosa distans subsp. elongata,1,NA
Mimosa distans subsp. elongata var. paraguariensis,0.771493266,Mimosa distans subsp. elongata,Mimosa distans var. paraguariensis,1,NA
Mimosa distans subsp. elongata var. quadripinna,0.771493266,Mimosa distans subsp. elongata,Mimosa distans var. quadripinna,1,NA
Mimosa distans subsp. elongata var. terezinae,0.771493266,Mimosa distans subsp. elongata,Mimosa distans var. terezinae,1,NA
Mimosa skinneri var. carajaram,0.988998311,Mimosa skinneri var. carajarum,Mimosa skinneri var. carajarum,1,NA
Phylogeny 1:    323,0.725236571,Phylogyne,Narcissus,0,NA
Phylogeny 1-2:  425,0.725236571,Phylogyne,Narcissus,0,NA
All taxa:        803,0.499573844,Ala,Habenaria,0,NA
