"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","Phylo_nitfix","NGS_acacia","flora_AUS_traits"
"Acacia_macradenia","Shrub or tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",400,3.5,NA,0.45,0.45,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_holotricha","Shrub or tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",750,6,NA,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_falcata","shrub or tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",350,4,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"Acacia_mabellae","Shrub or tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",650,2.75,NA,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_attenuata","Slender shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",350,5,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_rubida","Shrub or tree",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",325,4.5,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_amoena","shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",250,3.75,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_kydrensis","shrub",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",150,1.75,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_chalkeri","shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,1.5,NA,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_forsythii","shrub",NA,NA,NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",200,NA,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_flocktoniae","shrub",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,4,NA,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_deuteroneura","Shrub",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,4,NA,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_wattsiana","Shrub or tree",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",250,1.75,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_quornensis","shrub",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",250,1.75,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_subulata","shrub or tree",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,1.75,NA,0.45,0.45,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_calamifolia","shrub",NA,"racemose","globular to obloid","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,2.05,NA,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_nematophylla","Bushy shrub",NA,"heads","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",250,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_leiophylla","Shrub or tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",400,5,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_alcockii","Bushy shrub","suckering","racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,3,NA,0.45,0.45,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_anceps","shrub",NA,"simple","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,1.75,NA,1.75,1.75,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_notabilis","shrub",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,4,NA,0.425,0.425,NA,NA,NA,NA,NA,NA,NA,1,0,1
